"USER_ID"	"Party"	"Age_group"	"NumSurveyAns"	"Gender"	"Income"	"HouseholdStatus"	"EducationLevel"	"Q109244"	"Q115611"	"Q98197"	"Q113181"	"Q98869"	"Q101163"	"Q99480"	"Q105840"	"Q116881"	"Q120379"	"Q120472"	"Q106272"	"Q115899"	"Q119851"	"Q121699"	"Q110740"
20	"Republican"	"(44,64]"	84	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"dnr"	"Mac"
21	"Republican"	"(18,44]"	101	"Male"	"over $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"
22	"Democrat"	"(18,44]"	34	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"dnr"	"Yes"	"dnr"	"No"	"dnr"	"dnr"	"Mom"	"dnr"	"dnr"	"dnr"	"dnr"	"Art"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
23	"Democrat"	"(18,44]"	100	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"Bachelor's Degree"	"Yes"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Right"	"Yes"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"
24	"Democrat"	"(18,44]"	99	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"dnr"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"
25	"Democrat"	"(18,44]"	93	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Associate's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"dnr"	"No"	"Yes"	"PC"
26	"Republican"	"(18,44]"	99	"Female"	"$50,000 - $74,999"	"Domestic Partners (no kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"No"	"No"	"Happy"	"No"	"Science"	"No"	"Me"	"Yes"	"Yes"	"PC"
27	"Democrat"	"(44,64]"	100	"Male"	"over $150,000"	"Domestic Partners (w/kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Mom"	"No"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"
30	"Democrat"	"(18,44]"	94	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"No"	"No"	"dnr"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"dnr"	"Yes"	"Science"	"No"	"dnr"	"No"	"No"	"PC"
31	"Democrat"	"(18,44]"	11	"Male"	"dnr"	"dnr"	"Current K-12"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
32	"Republican"	"(18,44]"	101	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Art"	"No"	"Circumstances"	"No"	"Yes"	"PC"
33	"Democrat"	"(64,90]"	87	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"Master's Degree"	"Yes"	"No"	"No"	"No"	"No"	"dnr"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Me"	"Yes"	"Yes"	"Mac"
34	"Democrat"	"(64,90]"	95	"Female"	"dnr"	"Married (no kids)"	"Associate's Degree"	"Yes"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Circumstances"	"Yes"	"Yes"	"PC"
35	"Democrat"	"(18,44]"	101	"Male"	"over $150,000"	"Single (no kids)"	"Current K-12"	"Yes"	"No"	"No"	"No"	"No"	"Dad"	"No"	"No"	"Right"	"No"	"Art"	"No"	"Circumstances"	"No"	"Yes"	"PC"
36	"Democrat"	"(18,44]"	90	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Bachelor's Degree"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Dad"	"No"	"Yes"	"Happy"	"No"	"dnr"	"Yes"	"Me"	"No"	"No"	"PC"
38	"Democrat"	"(18,44]"	101	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Me"	"No"	"Yes"	"PC"
39	"Democrat"	"(64,90]"	89	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Me"	"Yes"	"dnr"	"Mac"
40	"Democrat"	"(18,44]"	97	"Female"	"$25,001 - $50,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Circumstances"	"No"	"Yes"	"Mac"
41	"Republican"	"(44,64]"	37	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"dnr"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Mac"
42	"Democrat"	"(64,90]"	101	"Male"	"$25,001 - $50,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"
43	"Democrat"	"(18,44]"	101	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current Undergraduate"	"Yes"	"No"	"No"	"No"	"No"	"Mom"	"Yes"	"No"	"Right"	"Yes"	"Art"	"No"	"Circumstances"	"No"	"Yes"	"Mac"
45	"Democrat"	"(44,64]"	79	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"High School Diploma"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"Yes"	"dnr"	"No"	"Art"	"dnr"	"Circumstances"	"No"	"Yes"	"Mac"
46	"Democrat"	"(44,64]"	101	"Female"	"$100,001 - $150,000"	"Married (w/kids)"	"Master's Degree"	"Yes"	"Yes"	"No"	"No"	"No"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"No"	"Yes"	"PC"
47	"Republican"	"(18,44]"	36	"Male"	"over $150,000"	"Married (w/kids)"	"Current K-12"	"dnr"	"Yes"	"Yes"	"Yes"	"dnr"	"Mom"	"dnr"	"dnr"	"Happy"	"dnr"	"Science"	"dnr"	"dnr"	"No"	"dnr"	"Mac"
48	"Democrat"	"(18,44]"	97	"Male"	"dnr"	"Married (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"
49	"Republican"	"(18,44]"	10	"Female"	"$25,001 - $50,000"	"Single (w/kids)"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"PC"
50	"Republican"	"(44,64]"	10	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"High School Diploma"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"Mac"
51	"Democrat"	"(18,44]"	101	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Doctoral Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"No"	"Yes"	"Mac"
52	"Republican"	"(18,44]"	20	"Female"	"dnr"	"Single (no kids)"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Happy"	"dnr"	"dnr"	"dnr"	"Me"	"dnr"	"dnr"	"Mac"
53	"Republican"	"(18,44]"	78	"Male"	"$25,001 - $50,000"	"Single (w/kids)"	"dnr"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"dnr"	"Happy"	"No"	"Science"	"No"	"dnr"	"No"	"Yes"	"PC"
54	"Democrat"	"(44,64]"	100	"Female"	"$100,001 - $150,000"	"Married (w/kids)"	"dnr"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"No"	"Yes"	"Mac"
55	"Democrat"	"(18,44]"	101	"Male"	"over $150,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"Mac"
57	"Republican"	"(18,44]"	65	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current K-12"	"No"	"Yes"	"Yes"	"Yes"	"dnr"	"dnr"	"Yes"	"dnr"	"Happy"	"Yes"	"dnr"	"Yes"	"dnr"	"dnr"	"Yes"	"dnr"
58	"Democrat"	"(18,44]"	90	"Male"	"$50,000 - $74,999"	"Single (no kids)"	"dnr"	"Yes"	"No"	"No"	"dnr"	"dnr"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"Yes"	"Me"	"No"	"No"	"Mac"
59	"Republican"	"(44,64]"	92	"Male"	"$50,000 - $74,999"	"Single (no kids)"	"High School Diploma"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Me"	"No"	"Yes"	"PC"
60	"Republican"	"(18,44]"	101	"Male"	"under $25,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"No"	"No"	"Right"	"No"	"Art"	"Yes"	"Circumstances"	"No"	"Yes"	"Mac"
61	"Democrat"	"(18,44]"	101	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"No"	"Me"	"Yes"	"Yes"	"Mac"
63	"Republican"	"(18,44]"	90	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Bachelor's Degree"	"dnr"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"dnr"	"No"	"Me"	"No"	"Yes"	"dnr"
64	"Democrat"	"(18,44]"	100	"Male"	"under $25,000"	"Single (no kids)"	"dnr"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"No"	"Me"	"No"	"No"	"PC"
65	"Democrat"	"(44,64]"	101	"Male"	"$100,001 - $150,000"	"Married (no kids)"	"Associate's Degree"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"
66	"Democrat"	"(44,64]"	101	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Me"	"No"	"Yes"	"Mac"
67	"Republican"	"(44,64]"	94	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"High School Diploma"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"No"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"dnr"	"No"	"Mac"
69	"Republican"	"(64,90]"	97	"Male"	"over $150,000"	"Married (w/kids)"	"Doctoral Degree"	"dnr"	"Yes"	"No"	"Yes"	"No"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"No"	"Yes"	"PC"
70	"Republican"	"(44,64]"	101	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Current K-12"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"Yes"	"Right"	"No"	"Science"	"Yes"	"Me"	"No"	"Yes"	"PC"
71	"Republican"	"(18,44]"	49	"Male"	"$75,000 - $100,000"	"Domestic Partners (w/kids)"	"Bachelor's Degree"	"No"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"No"	"No"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"Yes"	"PC"
73	"Democrat"	"(18,44]"	35	"Female"	"dnr"	"Single (no kids)"	"Bachelor's Degree"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Dad"	"No"	"dnr"	"dnr"	"Yes"	"Art"	"dnr"	"dnr"	"No"	"Yes"	"Mac"
75	"Democrat"	"(18,44]"	97	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"Master's Degree"	"No"	"No"	"No"	"dnr"	"No"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"
76	"Republican"	"(44,64]"	97	"Male"	"$100,001 - $150,000"	"Married (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Art"	"Yes"	"Circumstances"	"Yes"	"Yes"	"Mac"
77	"Democrat"	"(18,44]"	101	"Male"	"$75,000 - $100,000"	"Domestic Partners (no kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"No"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Circumstances"	"No"	"Yes"	"Mac"
78	"Democrat"	"(44,64]"	97	"Male"	"over $150,000"	"Married (w/kids)"	"Master's Degree"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"No"	"Yes"	"Right"	"Yes"	"Science"	"Yes"	"dnr"	"Yes"	"No"	"PC"
79	"Republican"	"(18,44]"	101	"Male"	"$75,000 - $100,000"	"dnr"	"High School Diploma"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Me"	"No"	"No"	"PC"
82	"Democrat"	"(44,64]"	99	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Associate's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"No"	"Yes"	"Happy"	"No"	"Art"	"Yes"	"Circumstances"	"No"	"Yes"	"Mac"
83	"Democrat"	"(18,44]"	12	"Male"	"dnr"	"Single (no kids)"	"Current Undergraduate"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"Science"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"
84	"Republican"	"(44,64]"	97	"Male"	"$50,000 - $74,999"	"Married (w/kids)"	"dnr"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"No"	"Yes"	"PC"
85	"Democrat"	"(18,44]"	47	"Female"	"under $25,000"	"Single (w/kids)"	"Master's Degree"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"No"	"Yes"	"dnr"
86	"Republican"	"(18,44]"	96	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"High School Diploma"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"dnr"	"Yes"	"Me"	"No"	"Yes"	"PC"
88	"Democrat"	"(44,64]"	101	"Male"	"$75,000 - $100,000"	"Married (no kids)"	"Associate's Degree"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"No"	"Yes"	"Mac"
89	"Democrat"	"(18,44]"	62	"Male"	"under $25,000"	"Single (no kids)"	"Current Undergraduate"	"Yes"	"No"	"Yes"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"Happy"	"dnr"	"Art"	"No"	"Me"	"dnr"	"Yes"	"Mac"
90	"Republican"	"(18,44]"	101	"Male"	"over $150,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"No"	"Yes"	"PC"
91	"Republican"	"(18,44]"	101	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"High School Diploma"	"No"	"Yes"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"No"	"Yes"	"PC"
93	"Democrat"	"(18,44]"	19	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current K-12"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"
94	"Republican"	"(0,18]"	35	"Female"	"dnr"	"Single (no kids)"	"Current K-12"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Happy"	"dnr"	"dnr"	"No"	"Circumstances"	"dnr"	"dnr"	"Mac"
95	"Republican"	"(18,44]"	99	"Male"	"over $150,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"No"	"Me"	"Yes"	"Yes"	"Mac"
97	"Democrat"	"(44,64]"	41	"Male"	"$50,000 - $74,999"	"Single (w/kids)"	"dnr"	"No"	"dnr"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"PC"
98	"Democrat"	"(18,44]"	70	"Female"	"$75,000 - $100,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"dnr"	"No"	"dnr"	"dnr"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"No"	"dnr"	"No"	"No"	"PC"
99	"Republican"	"(18,44]"	66	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"dnr"	"dnr"	"dnr"	"Science"	"dnr"	"Me"	"No"	"Yes"	"Mac"
101	"Republican"	"(44,64]"	101	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"No"	"Yes"	"PC"
102	"Republican"	"(64,90]"	95	"Female"	"over $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"dnr"	"No"	"Art"	"Yes"	"Me"	"Yes"	"Yes"	"Mac"
103	"Democrat"	"(18,44]"	5	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Current K-12"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
106	"Democrat"	"(18,44]"	14	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current Undergraduate"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Mom"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Mac"
107	"Republican"	"(18,44]"	18	"Male"	"$50,000 - $74,999"	"Single (no kids)"	"Bachelor's Degree"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"
109	"Republican"	"(18,44]"	101	"Male"	"dnr"	"Single (no kids)"	"Doctoral Degree"	"No"	"No"	"No"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"Yes"	"Art"	"No"	"Me"	"Yes"	"No"	"PC"
110	"Democrat"	"(44,64]"	101	"Female"	"over $150,000"	"Single (w/kids)"	"High School Diploma"	"No"	"Yes"	"No"	"Yes"	"No"	"Dad"	"No"	"No"	"Happy"	"No"	"Art"	"Yes"	"Me"	"No"	"Yes"	"PC"
111	"Democrat"	"(18,44]"	99	"Female"	"dnr"	"Single (no kids)"	"Doctoral Degree"	"Yes"	"No"	"No"	"No"	"Yes"	"Mom"	"No"	"Yes"	"Happy"	"Yes"	"dnr"	"No"	"Me"	"Yes"	"Yes"	"PC"
112	"Democrat"	"(18,44]"	101	"Female"	"$75,000 - $100,000"	"Domestic Partners (w/kids)"	"Bachelor's Degree"	"Yes"	"No"	"Yes"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Right"	"Yes"	"Science"	"Yes"	"Me"	"No"	"No"	"PC"
113	"Democrat"	"(18,44]"	101	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"No"	"Yes"	"Happy"	"No"	"Art"	"No"	"Circumstances"	"No"	"No"	"Mac"
114	"Democrat"	"(44,64]"	99	"Male"	"$75,000 - $100,000"	"Domestic Partners (no kids)"	"Master's Degree"	"Yes"	"No"	"No"	"No"	"Yes"	"dnr"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"
115	"Republican"	"(44,64]"	98	"Female"	"$75,000 - $100,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"Yes"	"Yes"	"Yes"	"dnr"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"
116	"Republican"	"(18,44]"	89	"Male"	"under $25,000"	"Single (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"dnr"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Art"	"Yes"	"Me"	"Yes"	"Yes"	"PC"
117	"Democrat"	"(44,64]"	14	"Female"	"under $25,000"	"Single (w/kids)"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
118	"Republican"	"(18,44]"	99	"Female"	"$25,001 - $50,000"	"Married (w/kids)"	"High School Diploma"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Right"	"No"	"Art"	"No"	"Circumstances"	"Yes"	"No"	"PC"
119	"Democrat"	"(18,44]"	96	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"dnr"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"No"	"Yes"	"PC"
