"USER_ID"	"Party"	"Age_group"	"NumSurveyAnsInterest"	"IsLiberal"	"Gender"	"Income"	"HouseholdStatus"	"EducationLevel"	"Q109244"	"Q115611"	"Q98197"	"Q113181"	"Q98869"	"Q101163"	"Q99480"	"Q105840"	"Q116881"	"Q120379"	"Q120472"	"Q106272"	"Q115899"	"Q121699"	"Q119851"	"Q110740"	"Q102089"	"Q106042"	"Q115195"	"Q100680"	"Q101596"	"Q99716"	"Q118892"	"Q108342"	"Q115390"	"Q107869"	"Q122771"	"Q118232"	"Q112478"	"Q120012"	"Q113583"	"Q120014"	"Q100689"	"Q124122"	"Q98078"	"Q96024"	"Q108855"	"Q121700"	"Q106388"	"Q116953"	"Q111848"	"Q116448"	"Q120194"	"Q121011"	"Q106389"
16	"Republican"	"(44,64]"	13	"unknown"	"Male"	"over $150,000"	"Married (no kids)"	"Bachelor's Degree"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"Dad"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Mac"	"dnr"	"dnr"	"dnr"	"No"	"No"	"No"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"
17	"Republican"	"(18,44]"	45	"No"	"Female"	"$100,001 - $150,000"	"Domestic Partners (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Right"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"Rent"	"No"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Online"	"Yes"	"Yes"	"Public"	"Idealist"	"Yes"	"No"	"Tunes"	"Yes"	"No"	"No"	"Yes"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Try first"	"Yes"	"No"
18	"Democrat"	"(44,64]"	45	"Yes"	"Male"	"$50,000 - $74,999"	"Married (w/kids)"	"High School Diploma"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Rent"	"No"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Online"	"Yes"	"Yes"	"Public"	"Pragmatist"	"No"	"No"	"Tunes"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"No"	"Try first"	"No"	"Yes"
19	"Republican"	"(18,44]"	44	"Yes"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Right"	"No"	"Science"	"Yes"	"Circumstances"	"No"	"No"	"PC"	"Own"	"No"	"Yes"	"No"	"dnr"	"No"	"No"	"In-person"	"Yes"	"No"	"Public"	"Idealist"	"Yes"	"Yes"	"Tunes"	"Yes"	"No"	"No"	"No"	"Yes"	"Umm..."	"Yes"	"No"	"No"	"Yes"	"Yes"	"Study first"	"No"	"Yes"
20	"Republican"	"(44,64]"	40	"No"	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"dnr"	"Yes"	"Mac"	"Own"	"No"	"No"	"No"	"No"	"No"	"Yes"	"Online"	"Yes"	"No"	"dnr"	"Idealist"	"Yes"	"No"	"Talk"	"Yes"	"Yes"	"dnr"	"No"	"Yes"	"Umm..."	"dnr"	"No"	"Yes"	"No"	"No"	"Study first"	"dnr"	"No"
21	"Republican"	"(18,44]"	45	"No"	"Male"	"over $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Rent"	"Yes"	"Yes"	"Yes"	"No"	"No"	"No"	"In-person"	"No"	"Yes"	"Private"	"Pragmatist"	"No"	"No"	"Talk"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Yes!"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Try first"	"No"	"No"
22	"Democrat"	"(18,44]"	15	"Yes"	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"dnr"	"Yes"	"dnr"	"No"	"dnr"	"dnr"	"Mom"	"dnr"	"dnr"	"dnr"	"dnr"	"Art"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"Yes"	"dnr"	"No"	"dnr"	"In-person"	"Yes"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"No"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"No"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"
23	"Democrat"	"(18,44]"	45	"Yes"	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"Bachelor's Degree"	"Yes"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Right"	"Yes"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"	"Rent"	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"In-person"	"Yes"	"Yes"	"Public"	"Pragmatist"	"Yes"	"No"	"Talk"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"Yes!"	"No"	"No"	"No"	"Yes"	"No"	"Study first"	"No"	"Yes"
24	"Democrat"	"(18,44]"	44	"Yes"	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"dnr"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Rent"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"In-person"	"Yes"	"No"	"Public"	"Pragmatist"	"Yes"	"Yes"	"Tunes"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Yes!"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Study first"	"No"	"Yes"
25	"Democrat"	"(18,44]"	41	"Yes"	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Associate's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"dnr"	"Yes"	"No"	"PC"	"Own"	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	"In-person"	"dnr"	"Yes"	"Public"	"Pragmatist"	"Yes"	"No"	"Talk"	"dnr"	"No"	"Yes"	"No"	"No"	"dnr"	"No"	"No"	"Yes"	"No"	"No"	"Study first"	"No"	"No"
26	"Republican"	"(18,44]"	45	"Yes"	"Female"	"$50,000 - $74,999"	"Domestic Partners (no kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"No"	"No"	"Happy"	"No"	"Science"	"No"	"Me"	"Yes"	"Yes"	"PC"	"Own"	"Yes"	"Yes"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Public"	"Pragmatist"	"Yes"	"No"	"Tunes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Umm..."	"No"	"No"	"Yes"	"Yes"	"Yes"	"Study first"	"No"	"Yes"
27	"Democrat"	"(44,64]"	45	"Yes"	"Male"	"over $150,000"	"Domestic Partners (w/kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Mom"	"No"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Own"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"Yes"	"Public"	"Idealist"	"No"	"Yes"	"Talk"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Study first"	"Yes"	"No"
30	"Democrat"	"(18,44]"	41	"No"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"No"	"No"	"dnr"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"dnr"	"Yes"	"Science"	"No"	"dnr"	"No"	"No"	"PC"	"Own"	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Online"	"Yes"	"Yes"	"Public"	"Pragmatist"	"Yes"	"No"	"Tunes"	"Yes"	"No"	"Yes"	"dnr"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Try first"	"No"	"Yes"
31	"Democrat"	"(18,44]"	3	"unknown"	"Male"	"dnr"	"dnr"	"Current K-12"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Tunes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"
32	"Republican"	"(18,44]"	45	"Yes"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Art"	"No"	"Circumstances"	"Yes"	"No"	"PC"	"Own"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"In-person"	"No"	"Yes"	"Public"	"Pragmatist"	"No"	"No"	"Tunes"	"No"	"Yes"	"Yes"	"Yes"	"No"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Try first"	"No"	"No"
33	"Democrat"	"(64,90]"	38	"Yes"	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"Master's Degree"	"Yes"	"No"	"No"	"No"	"No"	"dnr"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Me"	"Yes"	"Yes"	"Mac"	"Own"	"Yes"	"Yes"	"dnr"	"No"	"No"	"Yes"	"In-person"	"Yes"	"dnr"	"Public"	"Pragmatist"	"No"	"No"	"Talk"	"dnr"	"dnr"	"No"	"No"	"No"	"Yes!"	"No"	"No"	"dnr"	"Yes"	"No"	"dnr"	"No"	"Yes"
34	"Democrat"	"(64,90]"	44	"Yes"	"Female"	"dnr"	"Married (no kids)"	"Associate's Degree"	"Yes"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Circumstances"	"Yes"	"Yes"	"PC"	"Own"	"Yes"	"Yes"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"Yes"	"Public"	"Pragmatist"	"No"	"Yes"	"Tunes"	"No"	"Yes"	"Yes"	"No"	"No"	"dnr"	"No"	"No"	"No"	"No"	"Yes"	"Study first"	"No"	"No"
35	"Democrat"	"(18,44]"	45	"Yes"	"Male"	"over $150,000"	"Single (no kids)"	"Current K-12"	"Yes"	"No"	"No"	"No"	"No"	"Dad"	"No"	"No"	"Right"	"No"	"Art"	"No"	"Circumstances"	"Yes"	"No"	"PC"	"Own"	"No"	"Yes"	"No"	"No"	"No"	"No"	"In-person"	"No"	"Yes"	"Public"	"Pragmatist"	"No"	"No"	"Tunes"	"Yes"	"No"	"No"	"No"	"Yes"	"Umm..."	"No"	"No"	"Yes"	"Yes"	"Yes"	"Try first"	"No"	"No"
36	"Democrat"	"(18,44]"	39	"unknown"	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Bachelor's Degree"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Dad"	"No"	"Yes"	"Happy"	"No"	"dnr"	"Yes"	"Me"	"No"	"No"	"PC"	"Own"	"No"	"No"	"Yes"	"No"	"Yes"	"Yes"	"In-person"	"No"	"No"	"Public"	"dnr"	"Yes"	"dnr"	"Tunes"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"No"	"Study first"	"No"	"No"
38	"Democrat"	"(18,44]"	45	"Yes"	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Me"	"Yes"	"No"	"PC"	"Rent"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Public"	"Idealist"	"Yes"	"Yes"	"Talk"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"No"	"Try first"	"Yes"	"Yes"
39	"Democrat"	"(64,90]"	39	"Yes"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Me"	"dnr"	"Yes"	"Mac"	"Own"	"Yes"	"dnr"	"Yes"	"dnr"	"No"	"Yes"	"In-person"	"Yes"	"Yes"	"Private"	"Pragmatist"	"No"	"Yes"	"Tunes"	"dnr"	"No"	"No"	"Yes"	"Yes"	"Yes!"	"dnr"	"No"	"Yes"	"Yes"	"No"	"Study first"	"dnr"	"No"
40	"Democrat"	"(18,44]"	44	"Yes"	"Female"	"$25,001 - $50,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Circumstances"	"Yes"	"No"	"Mac"	"Rent"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"Yes"	"Public"	"Pragmatist"	"Yes"	"Yes"	"Tunes"	"No"	"Yes"	"Yes"	"No"	"No"	"dnr"	"No"	"No"	"Yes"	"No"	"No"	"Try first"	"Yes"	"No"
41	"Republican"	"(44,64]"	14	"No"	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"dnr"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Mac"	"dnr"	"Yes"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"Talk"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"No"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"No"
42	"Democrat"	"(64,90]"	45	"No"	"Male"	"$25,001 - $50,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Rent"	"No"	"Yes"	"No"	"No"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Public"	"Pragmatist"	"No"	"No"	"Tunes"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Try first"	"Yes"	"Yes"
43	"Democrat"	"(18,44]"	45	"Yes"	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current Undergraduate"	"Yes"	"No"	"No"	"No"	"No"	"Mom"	"Yes"	"No"	"Right"	"Yes"	"Art"	"No"	"Circumstances"	"Yes"	"No"	"Mac"	"Own"	"No"	"Yes"	"No"	"No"	"No"	"Yes"	"In-person"	"No"	"No"	"Public"	"Pragmatist"	"Yes"	"No"	"Tunes"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Umm..."	"No"	"No"	"No"	"Yes"	"Yes"	"Study first"	"Yes"	"Yes"
45	"Democrat"	"(44,64]"	37	"No"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"High School Diploma"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"Yes"	"dnr"	"No"	"Art"	"dnr"	"Circumstances"	"Yes"	"No"	"Mac"	"Own"	"Yes"	"No"	"No"	"Yes"	"dnr"	"Yes"	"In-person"	"No"	"dnr"	"Public"	"Idealist"	"Yes"	"Yes"	"Tunes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes!"	"No"	"dnr"	"dnr"	"Yes"	"dnr"	"Study first"	"No"	"dnr"
46	"Democrat"	"(44,64]"	45	"Yes"	"Female"	"$100,001 - $150,000"	"Married (w/kids)"	"Master's Degree"	"Yes"	"Yes"	"No"	"No"	"No"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"	"Online"	"No"	"Yes"	"Public"	"Pragmatist"	"Yes"	"No"	"Talk"	"No"	"Yes"	"No"	"No"	"No"	"Yes!"	"No"	"Yes"	"Yes"	"Yes"	"No"	"Study first"	"No"	"No"
47	"Republican"	"(18,44]"	18	"No"	"Male"	"over $150,000"	"Married (w/kids)"	"Current K-12"	"dnr"	"Yes"	"Yes"	"Yes"	"dnr"	"Mom"	"dnr"	"dnr"	"Happy"	"dnr"	"Science"	"dnr"	"dnr"	"dnr"	"No"	"Mac"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"Private"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"No"	"No"	"Try first"	"No"	"dnr"
48	"Democrat"	"(18,44]"	44	"No"	"Male"	"dnr"	"Married (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"	"Own"	"No"	"No"	"No"	"Yes"	"No"	"No"	"In-person"	"No"	"No"	"Public"	"Pragmatist"	"No"	"No"	"Talk"	"No"	"No"	"Yes"	"No"	"No"	"dnr"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Study first"	"No"	"Yes"
49	"Republican"	"(18,44]"	4	"unknown"	"Female"	"$25,001 - $50,000"	"Single (w/kids)"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"PC"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Online"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes!"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
50	"Republican"	"(44,64]"	4	"unknown"	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"High School Diploma"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"Mac"	"Own"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
51	"Democrat"	"(18,44]"	45	"No"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Doctoral Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"Own"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Public"	"Idealist"	"Yes"	"No"	"Tunes"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Umm..."	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"Try first"	"Yes"	"Yes"
52	"Republican"	"(18,44]"	9	"No"	"Female"	"dnr"	"Single (no kids)"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Happy"	"dnr"	"dnr"	"dnr"	"Me"	"dnr"	"dnr"	"Mac"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"Yes"	"Yes"	"dnr"	"dnr"	"dnr"
