"USER_ID"	"xgboost_preProcess8_1802"	"xgboost_preProcess8_1430"	"xgboost_preProcess8_8415"	"xgboost_preProcess8_1336"	"xgboost_preProcess8_4774"	"kNN_preProcess8_1802"	"kNN_preProcess8_1430"	"kNN_preProcess8_8415"	"kNN_preProcess8_1336"	"svm_preProcess8_1802"	"svm_preProcess8_1430"	"svm_preProcess8_8415"	"svm_preProcess8_1336"	"Party"
84	0.764332354068756	0.717901706695557	0.784943699836731	0.780629456043243	0.743884086608887	1	1	1	1	1	1	1	1	"Republican"
85	0.158823907375336	0.164823725819588	0.166906416416168	0.190927192568779	0.121072612702847	0	0	0	0	0	0	0	0	"Democrat"
86	0.693786919116974	0.647713720798492	0.586808741092682	0.686265289783478	0.772580623626709	1	1	1	1	1	1	1	1	"Republican"
88	0.315204560756683	0.427663207054138	0.375601947307587	0.395852386951447	0.429104655981064	0	0	0	0	0	0	0	0	"Democrat"
89	0.299343675374985	0.28226974606514	0.243771433830261	0.225458860397339	0.303659468889236	0	0	0	0	0	0	0	0	"Democrat"
90	0.720371425151825	0.741402626037598	0.771548509597778	0.763962686061859	0.853429794311523	1	1	1	1	1	1	1	1	"Republican"
91	0.601910710334778	0.606413662433624	0.553616166114807	0.665688872337341	0.609810411930084	1	1	1	1	1	1	1	1	"Republican"
93	0.410799294710159	0.473739266395569	0.436054080724716	0.450405597686768	0.438444316387177	0	0	0	0	0	0	0	0	"Democrat"
94	0.262433499097824	0.279622048139572	0.298315703868866	0.248350083827972	0.253227323293686	0	0	0	0	0	0	0	0	"Republican"
95	0.48564937710762	0.407467007637024	0.434473246335983	0.507684350013733	0.454604476690292	0	0	0	0	0	0	0	0	"Republican"
97	0.451326936483383	0.48204305768013	0.504763543605804	0.604248702526093	0.579423308372498	0	0	0	0	1	1	1	1	"Democrat"
98	0.517453908920288	0.62867271900177	0.631597220897675	0.667092144489288	0.532202541828156	0	0	0	0	1	1	1	1	"Democrat"
99	0.511201024055481	0.561334669589996	0.45597180724144	0.509773790836334	0.457575440406799	0	0	0	0	1	0	0	0	"Republican"
101	0.764297068119049	0.697806358337402	0.67529022693634	0.778861999511719	0.794884443283081	1	1	1	1	1	1	1	1	"Republican"
102	0.57215428352356	0.599561810493469	0.581416547298431	0.521684587001801	0.569625496864319	1	1	1	1	1	1	1	1	"Republican"
103	0.524971187114716	0.487096816301346	0.551009833812714	0.516795873641968	0.501738131046295	0	0	1	0	1	1	1	1	"Democrat"
106	0.402790993452072	0.417027652263641	0.338059276342392	0.383959323167801	0.405629456043243	0	0	0	0	0	0	0	0	"Democrat"
107	0.332613348960876	0.337059408426285	0.33224356174469	0.335018455982208	0.338457643985748	0	0	0	0	0	0	0	0	"Republican"
109	0.617290735244751	0.547434747219086	0.494525760412216	0.53480452299118	0.475171595811844	1	1	1	1	1	1	1	1	"Republican"
110	0.639614403247833	0.63561350107193	0.699262022972107	0.684258460998535	0.724806666374207	1	1	1	1	1	1	1	1	"Democrat"
111	0.143461614847183	0.174054607748985	0.150500297546387	0.0981789380311966	0.180036753416061	0	0	0	0	0	0	0	0	"Democrat"
112	0.264687389135361	0.227087289094925	0.237314119935036	0.213527739048004	0.189626395702362	0	0	0	0	0	0	0	0	"Democrat"
113	0.340509831905365	0.334190398454666	0.378153949975967	0.344226092100143	0.34620264172554	0	0	0	0	0	0	0	0	"Democrat"
114	0.121062658727169	0.126242160797119	0.141559436917305	0.136599436402321	0.141200795769691	0	0	0	0	0	0	0	0	"Democrat"
115	0.677458167076111	0.765069246292114	0.750192403793335	0.692826926708221	0.742875635623932	1	1	1	1	1	1	1	1	"Republican"
116	0.61133998632431	0.589875459671021	0.635893881320953	0.554430603981018	0.720060408115387	1	1	1	1	1	1	1	1	"Republican"
117	0.577098906040192	0.575642585754395	0.599601030349731	0.559837222099304	0.563958287239075	0	0	0	0	0	1	1	1	"Democrat"
118	0.710952341556549	0.748439013957977	0.719088196754456	0.67527711391449	0.702404081821442	1	1	1	1	1	1	1	1	"Republican"
119	0.451944172382355	0.507674992084503	0.557090878486633	0.566956222057343	0.500969469547272	0	0	0	0	0	0	0	0	"Democrat"
120	0.56830906867981	0.614625751972198	0.58612197637558	0.544177532196045	0.621626377105713	1	1	0	0	1	1	1	1	"Democrat"
121	0.635583639144897	0.652408957481384	0.670408368110657	0.682527899742126	0.700199842453003	1	1	1	1	1	1	1	1	"Democrat"
122	0.127507418394089	0.110172674059868	0.153391793370247	0.120234280824661	0.167615786194801	0	0	0	0	0	0	0	0	"Democrat"
123	0.493611186742783	0.48201110959053	0.499143928289413	0.505485773086548	0.502423644065857	0	0	0	0	0	0	0	0	"Republican"
126	0.513581097126007	0.630891680717468	0.58494246006012	0.502571940422058	0.593704879283905	1	1	1	1	1	1	1	1	"Democrat"
131	0.403457522392273	0.39417839050293	0.376597225666046	0.520407795906067	0.45371875166893	0	0	0	0	0	0	0	0	"Republican"
132	0.648279964923859	0.586261510848999	0.573112010955811	0.659637451171875	0.664754986763	1	1	1	1	1	1	1	1	"Republican"
133	0.523640751838684	0.499520987272263	0.503491044044495	0.526330709457397	0.553838074207306	0	0	0	0	0	0	0	0	"Republican"
134	0.389394283294678	0.487412601709366	0.420272678136826	0.380960136651993	0.367214024066925	0	0	0	0	0	0	0	0	"Democrat"
135	0.718373417854309	0.732760965824127	0.75930243730545	0.7248575091362	0.710029125213623	1	1	1	1	1	1	1	1	"Democrat"
136	0.614209055900574	0.72103887796402	0.71542352437973	0.648489356040955	0.672750234603882	1	1	1	1	1	1	1	1	"Democrat"
137	0.741878569126129	0.737518787384033	0.786526143550873	0.715240240097046	0.711704313755035	1	1	1	1	1	1	1	1	"Republican"
138	0.383061319589615	0.362766057252884	0.36293613910675	0.379686832427979	0.372444123029709	0	0	0	0	0	0	0	0	"Democrat"
140	0.516215741634369	0.458782911300659	0.493775874376297	0.567332446575165	0.501507818698883	1	1	1	1	0	0	0	0	"Democrat"
141	0.431796342134476	0.456137478351593	0.487289279699326	0.493661195039749	0.339821517467499	1	1	1	1	0	0	0	0	"Republican"
142	0.501184523105621	0.469520002603531	0.487492442131042	0.427071183919907	0.448943734169006	1	0	0	0	0	0	0	0	"Democrat"
143	0.471965700387955	0.420023560523987	0.500799417495728	0.418291807174683	0.481510311365128	0	0	0	0	1	1	0	1	"Republican"
144	0.479376971721649	0.373664230108261	0.429758191108704	0.4050472676754	0.445279389619827	0	0	0	0	0	0	0	0	"Republican"
145	0.674912512302399	0.636144638061523	0.616293251514435	0.616098880767822	0.591566801071167	1	1	1	1	1	1	1	1	"Republican"
146	0.643581330776215	0.526365041732788	0.495991855859756	0.499750018119812	0.51945823431015	0	0	0	0	1	1	1	1	"Republican"
147	0.628795385360718	0.643593192100525	0.634633004665375	0.595466315746307	0.580407440662384	1	1	1	1	1	1	1	1	"Democrat"
148	0.231702819466591	0.224621057510376	0.266875803470612	0.266486585140228	0.279771536588669	0	0	0	0	0	0	0	0	"Democrat"
150	0.256582856178284	0.300768941640854	0.272185564041138	0.289316803216934	0.235205084085464	0	0	0	0	0	0	0	0	"Democrat"
152	0.440931171178818	0.43363955616951	0.408611238002777	0.400345385074615	0.4349624812603	0	0	0	0	0	0	0	0	"Democrat"
153	0.340251982212067	0.356565058231354	0.427236944437027	0.320470601320267	0.451379090547562	0	0	0	0	0	0	0	0	"Democrat"
155	0.487708061933517	0.450271487236023	0.484032034873962	0.452576279640198	0.458754360675812	0	0	0	0	0	0	0	0	"Republican"
156	0.796773374080658	0.766649067401886	0.77489447593689	0.795356929302216	0.776598691940308	1	1	1	1	1	1	1	1	"Republican"
157	0.571055710315704	0.709649920463562	0.665197134017944	0.533522605895996	0.603013634681702	1	1	1	1	1	1	1	1	"Republican"
160	0.411706566810608	0.420014977455139	0.418728113174438	0.350647181272507	0.431945145130157	0	0	1	0	0	0	0	0	"Democrat"
161	0.687562644481659	0.61081874370575	0.593903064727783	0.592028200626373	0.631842195987701	1	1	1	1	1	1	1	1	"Republican"
162	0.628299415111542	0.562620162963867	0.632184505462646	0.596530556678772	0.591204285621643	1	1	1	1	1	1	1	1	"Democrat"
163	0.179363518953323	0.162737771868706	0.167495936155319	0.198956653475761	0.172387897968292	0	0	0	0	0	0	0	0	"Democrat"
164	0.421512573957443	0.423815548419952	0.331365674734116	0.412591844797134	0.376093327999115	0	0	0	0	0	0	0	0	"Democrat"
165	0.646476209163666	0.580972015857697	0.569463968276978	0.551625370979309	0.696002602577209	1	1	1	1	1	1	1	1	"Republican"
166	0.416828185319901	0.433674514293671	0.476544708013535	0.439642518758774	0.361374974250793	0	0	0	0	0	0	0	0	"Democrat"
167	0.215394377708435	0.195430845022202	0.140242844820023	0.132907867431641	0.172126248478889	0	0	0	0	0	0	0	0	"Democrat"
169	0.480506539344788	0.455427080392838	0.456058859825134	0.387302488088608	0.540964722633362	1	1	0	0	1	1	1	1	"Republican"
170	0.271752506494522	0.145227551460266	0.171031624078751	0.13928447663784	0.160508170723915	0	0	0	0	0	0	0	0	"Democrat"
171	0.183562487363815	0.161836057901382	0.247932627797127	0.182150036096573	0.187216624617577	0	0	0	0	0	0	0	0	"Democrat"
172	0.419029265642166	0.375765025615692	0.436868667602539	0.429989486932755	0.469149142503738	0	0	0	0	0	0	0	0	"Democrat"
173	0.750613987445831	0.738723635673523	0.753605842590332	0.730892658233643	0.724936485290527	1	1	1	1	1	1	1	1	"Republican"
174	0.338244676589966	0.275914818048477	0.309687107801437	0.338608205318451	0.376300007104874	0	0	0	0	0	0	0	0	"Republican"
175	0.715421855449677	0.760319650173187	0.730737924575806	0.776958525180817	0.704078137874603	1	1	1	1	1	1	1	1	"Democrat"
176	0.734876751899719	0.756960868835449	0.684489369392395	0.697370409965515	0.666673302650452	1	1	1	1	1	1	1	1	"Democrat"
178	0.800080597400665	0.781727075576782	0.792730391025543	0.798436164855957	0.789406955242157	1	1	1	1	1	1	1	1	"Republican"
179	0.222142100334167	0.195874854922295	0.165904730558395	0.222201690077782	0.237470299005508	0	0	0	0	0	0	0	0	"Democrat"
180	0.299373745918274	0.280653983354568	0.292361348867416	0.313461095094681	0.265065044164658	0	0	0	0	0	0	0	0	"Democrat"
181	0.374501079320908	0.271476298570633	0.324129402637482	0.237962707877159	0.259753197431564	0	0	0	0	0	0	0	0	"Democrat"
182	0.13441564142704	0.15655092895031	0.222167328000069	0.151590555906296	0.182612776756287	0	0	0	0	0	0	0	0	"Republican"
183	0.339250564575195	0.368875831365585	0.309458822011948	0.40990623831749	0.32935819029808	0	0	0	0	0	0	0	0	"Republican"
184	0.234346017241478	0.204398587346077	0.19503989815712	0.249309539794922	0.180234104394913	0	0	0	0	0	0	0	0	"Democrat"
186	0.397358626127243	0.37355250120163	0.363104850053787	0.34855443239212	0.430665880441666	0	0	0	0	0	0	0	0	"Republican"
187	0.647102296352386	0.583447277545929	0.687001883983612	0.62925136089325	0.663057029247284	1	1	1	1	1	1	1	1	"Republican"
188	0.44235622882843	0.379434317350388	0.419492870569229	0.381802946329117	0.423428893089294	0	0	0	0	0	0	0	0	"Republican"
189	0.61781769990921	0.616216361522675	0.688303709030151	0.644696295261383	0.606263995170593	1	1	1	1	1	1	1	1	"Republican"
190	0.256735652685165	0.327251523733139	0.393211096525192	0.265007078647614	0.301662623882294	0	0	0	0	0	0	0	0	"Democrat"
191	0.318976432085037	0.368407696485519	0.331103473901749	0.320690274238586	0.336581647396088	0	0	0	0	0	0	0	0	"Democrat"
193	0.491079479455948	0.54338002204895	0.586455047130585	0.561037361621857	0.561424493789673	1	1	1	1	0	1	1	1	"Democrat"
194	0.245898127555847	0.19622665643692	0.30900913476944	0.217366859316826	0.302022963762283	0	0	0	0	0	0	0	0	"Democrat"
196	0.411495625972748	0.481312781572342	0.550855100154877	0.506384015083313	0.469530314207077	0	0	0	0	0	0	0	0	"Democrat"
197	0.254612535238266	0.208717882633209	0.203583106398582	0.199281767010689	0.270443022251129	0	0	0	0	0	0	0	0	"Democrat"
199	0.73078852891922	0.804642796516418	0.779231131076813	0.86674576997757	0.833082139492035	1	1	1	1	1	1	1	1	"Democrat"
200	0.676701605319977	0.681302607059479	0.737231433391571	0.699603497982025	0.701582670211792	1	1	1	1	1	1	1	1	"Democrat"
201	0.621162176132202	0.665520429611206	0.585081577301025	0.570509910583496	0.646468758583069	1	1	1	1	1	1	1	1	"Democrat"
202	0.732281625270844	0.710332632064819	0.676525294780731	0.758865177631378	0.723342537879944	1	1	1	1	1	1	1	1	"Republican"
203	0.60504013299942	0.633787870407104	0.574957251548767	0.575916767120361	0.614992678165436	1	1	1	1	1	1	1	1	"Democrat"
204	0.236559182405472	0.333687007427216	0.319014996290207	0.333922892808914	0.279191881418228	0	0	0	0	0	0	0	0	"Democrat"
205	0.540312886238098	0.448013782501221	0.523174405097961	0.580590605735779	0.642138063907623	1	1	1	1	1	1	1	1	"Republican"
206	0.380250364542007	0.271753549575806	0.26294532418251	0.323638290166855	0.338138431310654	0	0	0	0	0	0	0	0	"Republican"
207	0.319090574979782	0.295098304748535	0.360014528036118	0.411439836025238	0.368455737829208	0	0	0	0	0	0	0	0	"Republican"
210	0.435379922389984	0.366880357265472	0.409989416599274	0.418296068906784	0.558162331581116	0	0	0	0	0	0	0	0	"Democrat"
211	0.352815628051758	0.346065074205399	0.283750265836716	0.396790236234665	0.371806621551514	0	0	0	0	0	0	0	0	"Democrat"
212	0.515201210975647	0.511176466941833	0.543787598609924	0.480536371469498	0.555256903171539	1	1	1	1	0	0	0	0	"Republican"
214	0.598742127418518	0.535126984119415	0.501883864402771	0.448316127061844	0.528048455715179	1	1	1	1	0	0	0	0	"Democrat"
215	0.633573889732361	0.714609622955322	0.692912936210632	0.651580214500427	0.722691237926483	1	1	1	1	1	1	1	1	"Republican"
216	0.365606158971786	0.404929310083389	0.310215592384338	0.398085564374924	0.463617920875549	1	0	0	0	0	0	0	0	"Democrat"
217	0.769085884094238	0.705353856086731	0.697005093097687	0.748078405857086	0.711554944515228	1	1	1	1	1	1	1	1	"Democrat"
218	0.701360642910004	0.762175023555756	0.736838698387146	0.735934197902679	0.691157698631287	1	1	1	1	1	1	1	1	"Democrat"
219	0.49519008398056	0.514446198940277	0.475207507610321	0.541484296321869	0.509367048740387	0	1	0	0	0	1	0	0	"Republican"
220	0.196235492825508	0.249090477824211	0.224122375249863	0.189160600304604	0.153916820883751	0	0	0	0	0	0	0	0	"Democrat"
221	0.21613946557045	0.147232308983803	0.128518953919411	0.16698993742466	0.207285374403	0	0	0	0	0	0	0	0	"Democrat"
222	0.47072634100914	0.468580096960068	0.468902200460434	0.468898862600327	0.429723799228668	0	0	0	0	0	0	1	0	"Republican"
223	0.499941110610962	0.498864382505417	0.521049857139587	0.446109592914581	0.482354074716568	0	0	0	0	0	0	0	0	"Republican"
224	0.42192354798317	0.47958716750145	0.469227135181427	0.492078453302383	0.455843687057495	0	0	0	0	0	0	0	0	"Democrat"
226	0.417973756790161	0.580876529216766	0.480949729681015	0.578266084194183	0.500903427600861	1	1	1	1	0	0	0	0	"Republican"
227	0.411987602710724	0.341955900192261	0.360199391841888	0.292505532503128	0.408971279859543	0	0	0	0	0	0	0	0	"Democrat"
228	0.536514520645142	0.555347383022308	0.556853950023651	0.57807070016861	0.60964697599411	1	1	1	1	1	1	1	1	"Republican"
230	0.52986478805542	0.634239673614502	0.635390758514404	0.673968493938446	0.593932330608368	1	1	1	1	1	1	1	1	"Republican"
232	0.445477038621902	0.492975652217865	0.487333625555038	0.443010747432709	0.455837905406952	1	1	0	1	0	1	0	0	"Democrat"
233	0.334416568279266	0.330251902341843	0.337365657091141	0.324080765247345	0.421173125505447	0	0	0	0	0	0	0	0	"Republican"
234	0.420400530099869	0.465378224849701	0.474031955003738	0.489476829767227	0.483056128025055	0	0	0	0	0	0	0	0	"Democrat"
235	0.645129024982452	0.677963495254517	0.675814568996429	0.645354866981506	0.662164449691772	1	1	1	1	1	1	1	1	"Republican"
237	0.214091420173645	0.243118286132812	0.206729769706726	0.177261978387833	0.207554221153259	0	0	0	0	0	0	0	0	"Republican"
241	0.502074480056763	0.532058477401733	0.645488679409027	0.590609014034271	0.539245128631592	1	1	1	1	1	1	1	1	"Republican"
242	0.212152108550072	0.17939729988575	0.183941558003426	0.190179660916328	0.189313247799873	0	0	0	0	0	0	0	0	"Republican"
243	0.584655940532684	0.581083834171295	0.632190108299255	0.695699453353882	0.721591711044312	1	1	1	1	1	1	1	1	"Republican"
245	0.713795602321625	0.587794721126556	0.689554929733276	0.607900738716125	0.648521423339844	1	1	1	1	1	1	1	1	"Republican"
246	0.51069450378418	0.545711815357208	0.380988091230392	0.47905233502388	0.469307571649551	0	0	0	0	0	0	0	0	"Democrat"
247	0.671858787536621	0.646270394325256	0.725819528102875	0.715432643890381	0.623293042182922	1	1	1	1	1	1	1	1	"Republican"
248	0.751787185668945	0.630061566829681	0.616864919662476	0.678512692451477	0.695722103118896	1	1	1	1	1	1	1	1	"Democrat"
249	0.415335118770599	0.424545675516129	0.549655854701996	0.444366842508316	0.424885511398315	1	1	1	1	1	1	1	1	"Republican"
250	0.439544856548309	0.511880815029144	0.451689392328262	0.562729239463806	0.394831985235214	0	0	0	0	1	1	1	1	"Democrat"
251	0.686906218528748	0.677253901958466	0.736190974712372	0.642260134220123	0.618399322032928	1	1	1	1	1	1	1	1	"Democrat"
252	0.161255419254303	0.202316835522652	0.168097347021103	0.154908627271652	0.142739713191986	0	0	0	0	0	0	0	0	"Democrat"
253	0.533999502658844	0.486160039901733	0.458858460187912	0.459104061126709	0.459883689880371	0	0	0	0	0	0	0	0	"Democrat"
254	0.468207657337189	0.563588798046112	0.505491852760315	0.539877772331238	0.501092612743378	1	1	1	1	1	1	1	1	"Republican"
255	0.493961364030838	0.428564876317978	0.39095801115036	0.438299834728241	0.418848693370819	1	1	1	1	1	0	0	1	"Democrat"
256	0.437769800424576	0.370291650295258	0.420380622148514	0.427012860774994	0.382669568061829	0	0	0	0	0	0	0	0	"Democrat"
257	0.708670437335968	0.702483415603638	0.673358142375946	0.599728643894196	0.706310868263245	1	1	1	1	1	1	1	1	"Democrat"
258	0.540993809700012	0.527945399284363	0.517102181911469	0.550383985042572	0.536600410938263	1	1	1	1	1	1	1	1	"Democrat"
261	0.226180851459503	0.191792815923691	0.264478743076324	0.161982327699661	0.168946713209152	0	0	0	0	0	0	0	0	"Republican"
262	0.328012108802795	0.380037605762482	0.350369483232498	0.218013107776642	0.3369060754776	0	0	0	0	0	0	0	0	"Republican"
263	0.552234053611755	0.519412338733673	0.657930552959442	0.603747844696045	0.569735586643219	1	1	1	1	1	1	1	1	"Republican"
265	0.704171419143677	0.571283757686615	0.560888111591339	0.630496740341187	0.627729475498199	1	1	1	1	1	1	1	1	"Democrat"
