"USER_ID"	"Party"	"Age_group"	"NumSurveyAns"	"Gender"	"Income"	"HouseholdStatus"	"EducationLevel"	"Q109244"	"Q115611"	"Q98197"	"Q113181"	"Q98869"	"Q101163"	"Q99480"	"Q105840"	"Q116881"	"Q120379"	"Q120472"	"Q106272"	"Q115899"	"Q119851"	"Q121699"	"Q110740"	"Q106042"	"Q101596"	"Q102089"	"Q100680"	"Q115195"	"Q122771"	"Q108855"	"Q112478"	"Q107869"	"Q120014"	"Q99716"	"Q118892"	"Q108342"	"Q115390"	"Q106388"	"Q120012"	"Q118232"	"Q100689"	"Q113583"	"Q106389"	"Q98078"	"Q124122"	"Q118237"	"Q96024"	"Q116953"
23	"Democrat"	"(18,44]"	100	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"Bachelor's Degree"	"Yes"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Right"	"Yes"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"	"No"	"No"	"Rent"	"Yes"	"Yes"	"Public"	"Yes!"	"Yes"	"Yes"	"Yes"	"No"	"No"	"In-person"	"Yes"	"No"	"No"	"Pragmatist"	"Yes"	"Talk"	"Yes"	"Yes"	"No"	"No"	"Yes"	"No"
24	"Democrat"	"(18,44]"	99	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"dnr"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Yes"	"No"	"Rent"	"Yes"	"Yes"	"Public"	"Yes!"	"Yes"	"No"	"No"	"Yes"	"Yes"	"In-person"	"Yes"	"Yes"	"Yes"	"Pragmatist"	"Yes"	"Tunes"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"Yes"
25	"Democrat"	"(18,44]"	93	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Associate's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"dnr"	"No"	"Yes"	"PC"	"No"	"Yes"	"Own"	"Yes"	"Yes"	"Public"	"dnr"	"Yes"	"Yes"	"dnr"	"No"	"No"	"In-person"	"dnr"	"No"	"No"	"Pragmatist"	"No"	"Talk"	"No"	"No"	"Yes"	"No"	"No"	"Yes"
26	"Republican"	"(18,44]"	99	"Female"	"$50,000 - $74,999"	"Domestic Partners (no kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"No"	"No"	"Happy"	"No"	"Science"	"No"	"Me"	"Yes"	"Yes"	"PC"	"Yes"	"No"	"Own"	"Yes"	"Yes"	"Public"	"Umm..."	"Yes"	"No"	"Yes"	"No"	"Yes"	"In-person"	"Yes"	"No"	"No"	"Pragmatist"	"Yes"	"Tunes"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Yes"
27	"Democrat"	"(44,64]"	100	"Male"	"over $150,000"	"Domestic Partners (w/kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Mom"	"No"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Yes"	"No"	"Own"	"Yes"	"No"	"Public"	"Yes!"	"No"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Yes"	"Idealist"	"Yes"	"Talk"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Yes"
30	"Democrat"	"(18,44]"	94	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"No"	"No"	"dnr"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"dnr"	"Yes"	"Science"	"No"	"dnr"	"No"	"No"	"PC"	"No"	"No"	"Own"	"Yes"	"Yes"	"Public"	"Yes!"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Online"	"Yes"	"No"	"No"	"Pragmatist"	"No"	"Tunes"	"Yes"	"dnr"	"Yes"	"Yes"	"Yes"	"Yes"
31	"Democrat"	"(18,44]"	11	"Male"	"dnr"	"dnr"	"Current K-12"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"Tunes"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
32	"Republican"	"(18,44]"	101	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Art"	"No"	"Circumstances"	"No"	"Yes"	"PC"	"Yes"	"No"	"Own"	"No"	"No"	"Public"	"Yes!"	"No"	"Yes"	"No"	"No"	"Yes"	"In-person"	"No"	"No"	"No"	"Pragmatist"	"Yes"	"Tunes"	"No"	"Yes"	"Yes"	"Yes"	"No"	"Yes"
33	"Democrat"	"(64,90]"	87	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"Master's Degree"	"Yes"	"No"	"No"	"No"	"No"	"dnr"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Me"	"Yes"	"Yes"	"Mac"	"Yes"	"No"	"Own"	"dnr"	"Yes"	"Public"	"Yes!"	"No"	"dnr"	"dnr"	"No"	"Yes"	"In-person"	"Yes"	"No"	"No"	"Pragmatist"	"dnr"	"Talk"	"Yes"	"No"	"No"	"Yes"	"No"	"dnr"
34	"Democrat"	"(64,90]"	95	"Female"	"dnr"	"Married (no kids)"	"Associate's Degree"	"Yes"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Circumstances"	"Yes"	"Yes"	"PC"	"Yes"	"No"	"Own"	"Yes"	"Yes"	"Public"	"dnr"	"No"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Yes"	"Pragmatist"	"Yes"	"Tunes"	"No"	"No"	"Yes"	"No"	"No"	"No"
35	"Democrat"	"(18,44]"	101	"Male"	"over $150,000"	"Single (no kids)"	"Current K-12"	"Yes"	"No"	"No"	"No"	"No"	"Dad"	"No"	"No"	"Right"	"No"	"Art"	"No"	"Circumstances"	"No"	"Yes"	"PC"	"No"	"No"	"Own"	"No"	"Yes"	"Public"	"Umm..."	"No"	"Yes"	"Yes"	"No"	"No"	"In-person"	"No"	"No"	"No"	"Pragmatist"	"No"	"Tunes"	"No"	"No"	"No"	"No"	"Yes"	"Yes"
36	"Democrat"	"(18,44]"	90	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Bachelor's Degree"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Dad"	"No"	"Yes"	"Happy"	"No"	"dnr"	"Yes"	"Me"	"No"	"No"	"PC"	"No"	"No"	"Own"	"Yes"	"No"	"Public"	"Yes!"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"In-person"	"No"	"No"	"dnr"	"dnr"	"Yes"	"Tunes"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"
38	"Democrat"	"(18,44]"	101	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Me"	"No"	"Yes"	"PC"	"Yes"	"Yes"	"Rent"	"Yes"	"No"	"Public"	"Yes!"	"Yes"	"No"	"Yes"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Yes"	"Idealist"	"Yes"	"Talk"	"Yes"	"No"	"No"	"No"	"Yes"	"Yes"
39	"Democrat"	"(64,90]"	89	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Me"	"Yes"	"dnr"	"Mac"	"Yes"	"dnr"	"Own"	"Yes"	"dnr"	"Private"	"Yes!"	"No"	"Yes"	"dnr"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Yes"	"Pragmatist"	"No"	"Tunes"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"
40	"Democrat"	"(18,44]"	97	"Female"	"$25,001 - $50,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Circumstances"	"No"	"Yes"	"Mac"	"Yes"	"No"	"Rent"	"Yes"	"No"	"Public"	"dnr"	"Yes"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Yes"	"Pragmatist"	"Yes"	"Tunes"	"No"	"No"	"Yes"	"No"	"No"	"Yes"
41	"Republican"	"(44,64]"	37	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"dnr"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Mac"	"Yes"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"Talk"	"No"	"dnr"	"dnr"	"dnr"	"No"	"dnr"
42	"Democrat"	"(64,90]"	101	"Male"	"$25,001 - $50,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"No"	"No"	"Rent"	"No"	"Yes"	"Public"	"Yes!"	"No"	"No"	"No"	"No"	"Yes"	"In-person"	"Yes"	"No"	"No"	"Pragmatist"	"Yes"	"Tunes"	"Yes"	"No"	"No"	"No"	"Yes"	"Yes"
43	"Democrat"	"(18,44]"	101	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current Undergraduate"	"Yes"	"No"	"No"	"No"	"No"	"Mom"	"Yes"	"No"	"Right"	"Yes"	"Art"	"No"	"Circumstances"	"No"	"Yes"	"Mac"	"No"	"No"	"Own"	"No"	"Yes"	"Public"	"Umm..."	"Yes"	"No"	"Yes"	"No"	"Yes"	"In-person"	"No"	"No"	"No"	"Pragmatist"	"No"	"Tunes"	"Yes"	"Yes"	"Yes"	"No"	"No"	"No"
45	"Democrat"	"(44,64]"	79	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"High School Diploma"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"Yes"	"dnr"	"No"	"Art"	"dnr"	"Circumstances"	"No"	"Yes"	"Mac"	"Yes"	"Yes"	"Own"	"No"	"No"	"Public"	"Yes!"	"Yes"	"dnr"	"Yes"	"dnr"	"Yes"	"In-person"	"No"	"dnr"	"Yes"	"Idealist"	"Yes"	"Tunes"	"dnr"	"Yes"	"Yes"	"No"	"Yes"	"dnr"
46	"Democrat"	"(44,64]"	101	"Female"	"$100,001 - $150,000"	"Married (w/kids)"	"Master's Degree"	"Yes"	"Yes"	"No"	"No"	"No"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"No"	"Yes"	"PC"	"Yes"	"No"	"Own"	"Yes"	"No"	"Public"	"Yes!"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Online"	"No"	"Yes"	"No"	"Pragmatist"	"Yes"	"Talk"	"No"	"No"	"No"	"Yes"	"No"	"Yes"
47	"Republican"	"(18,44]"	36	"Male"	"over $150,000"	"Married (w/kids)"	"Current K-12"	"dnr"	"Yes"	"Yes"	"Yes"	"dnr"	"Mom"	"dnr"	"dnr"	"Happy"	"dnr"	"Science"	"dnr"	"dnr"	"No"	"dnr"	"Mac"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"Private"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"No"	"dnr"	"No"
48	"Democrat"	"(18,44]"	97	"Male"	"dnr"	"Married (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"	"No"	"Yes"	"Own"	"No"	"No"	"Public"	"dnr"	"No"	"No"	"No"	"No"	"No"	"In-person"	"No"	"No"	"No"	"Pragmatist"	"No"	"Talk"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"
49	"Republican"	"(18,44]"	10	"Female"	"$25,001 - $50,000"	"Single (w/kids)"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"PC"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes!"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Online"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
50	"Republican"	"(44,64]"	10	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"High School Diploma"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"Mac"	"dnr"	"Yes"	"Own"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
51	"Democrat"	"(18,44]"	101	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Doctoral Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"No"	"Yes"	"Mac"	"Yes"	"Yes"	"Own"	"Yes"	"No"	"Public"	"Umm..."	"Yes"	"No"	"No"	"No"	"Yes"	"In-person"	"Yes"	"Yes"	"No"	"Idealist"	"Yes"	"Tunes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"No"
52	"Republican"	"(18,44]"	20	"Female"	"dnr"	"Single (no kids)"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Happy"	"dnr"	"dnr"	"dnr"	"Me"	"dnr"	"dnr"	"Mac"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"
53	"Republican"	"(18,44]"	78	"Male"	"$25,001 - $50,000"	"Single (w/kids)"	"dnr"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"dnr"	"Happy"	"No"	"Science"	"No"	"dnr"	"No"	"Yes"	"PC"	"dnr"	"No"	"Rent"	"No"	"Yes"	"Public"	"Yes!"	"No"	"Yes"	"No"	"dnr"	"No"	"Online"	"dnr"	"Yes"	"Yes"	"Pragmatist"	"No"	"Tunes"	"No"	"No"	"Yes"	"Yes"	"Yes"	"No"
54	"Democrat"	"(44,64]"	100	"Female"	"$100,001 - $150,000"	"Married (w/kids)"	"dnr"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"No"	"Yes"	"Mac"	"Yes"	"No"	"Own"	"Yes"	"Yes"	"Private"	"Umm..."	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Online"	"No"	"No"	"No"	"Pragmatist"	"Yes"	"Talk"	"No"	"No"	"No"	"No"	"No"	"Yes"
55	"Democrat"	"(18,44]"	101	"Male"	"over $150,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"Mac"	"Yes"	"No"	"Own"	"Yes"	"Yes"	"Public"	"Yes!"	"Yes"	"No"	"Yes"	"No"	"No"	"In-person"	"Yes"	"No"	"No"	"Idealist"	"Yes"	"Tunes"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Yes"
57	"Republican"	"(18,44]"	65	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current K-12"	"No"	"Yes"	"Yes"	"Yes"	"dnr"	"dnr"	"Yes"	"dnr"	"Happy"	"Yes"	"dnr"	"Yes"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"Yes"	"Own"	"Yes"	"dnr"	"Private"	"Yes!"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"Online"	"Yes"	"No"	"Yes"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"Yes"	"Yes"	"Yes"	"Yes"
