"USER_ID"	"YOB"	"Gender"	"Income"	"HouseholdStatus"	"EducationLevel"	"Party"	"Q124742"	"Q124122"	"Q123464"	"Q123621"	"Q122769"	"Q122770"	"Q122771"	"Q122120"	"Q121699"	"Q121700"	"Q120978"	"Q121011"	"Q120379"	"Q120650"	"Q120472"	"Q120194"	"Q120012"	"Q120014"	"Q119334"	"Q119851"	"Q119650"	"Q118892"	"Q118117"	"Q118232"	"Q118233"	"Q118237"	"Q117186"	"Q117193"	"Q116797"	"Q116881"	"Q116953"	"Q116601"	"Q116441"	"Q116448"	"Q116197"	"Q115602"	"Q115777"	"Q115610"	"Q115611"	"Q115899"	"Q115390"	"Q114961"	"Q114748"	"Q115195"	"Q114517"	"Q114386"	"Q113992"	"Q114152"	"Q113583"	"Q113584"	"Q113181"	"Q112478"	"Q112512"	"Q112270"	"Q111848"	"Q111580"	"Q111220"	"Q110740"	"Q109367"	"Q108950"	"Q109244"	"Q108855"	"Q108617"	"Q108856"	"Q108754"	"Q108342"	"Q108343"	"Q107869"	"Q107491"	"Q106993"	"Q106997"	"Q106272"	"Q106388"	"Q106389"	"Q106042"	"Q105840"	"Q105655"	"Q104996"	"Q103293"	"Q102906"	"Q102674"	"Q102687"	"Q102289"	"Q102089"	"Q101162"	"Q101163"	"Q101596"	"Q100689"	"Q100680"	"Q100562"	"Q99982"	"Q100010"	"Q99716"	"Q99581"	"Q99480"	"Q98869"	"Q98578"	"Q98059"	"Q98078"	"Q98197"	"Q96024"
16	1971	"Male"	"over $150,000"	"Married (no kids)"	"Bachelor's Degree"	"Republican"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"Mysterious"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"Yes"	"Yes"	"Yes"	"Demanding"	"No"	"Mac"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"No"	"No"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Optimist"	"Dad"	"No"	"Yes"	"No"	"No"	"Check!"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"
17	1977	"Female"	"$100,001 - $150,000"	"Domestic Partners (no kids)"	"Bachelor's Degree"	"Republican"	"Yes"	"No"	"No"	"Yes"	"Yes"	"No"	"Public"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Science"	"Try first"	"No"	"Yes"	"Yes"	"No"	"Giving"	"Yes"	"No"	"Idealist"	"Yes"	"No"	"Cool headed"	"Standard hours"	"No"	"Right"	"Yes"	"Yes"	"Yes"	"Yes"	"A.M."	"No"	"Start"	"Yes"	"Yes"	"Me"	"Yes"	"No"	"No"	"Yes"	"No"	"Mysterious"	"Yes"	"No"	"Tunes"	"Technology"	"No"	"Yes"	"No"	"No"	"Yes"	"Demanding"	"No"	"Mac"	"Yes"	"Cautious"	"No"	"Yes!"	"No"	"Socialize"	"No"	"Online"	"No"	"Yes"	"Yes"	"Yes"	"Grrr people"	"Yes"	"No"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"Yes"	"No"	"No"	"Rent"	"Optimist"	"Dad"	"Yes"	"No"	"Yes"	"Yes"	"Check!"	"Yes"	"No"	"No"	"Yes"	"Yes"	"No"	"Only-child"	"Yes"	"No"	"Yes"
18	1971	"Male"	"$50,000 - $74,999"	"Married (w/kids)"	"High School Diploma"	"Democrat"	"No"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Public"	"Yes"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"	"Science"	"Try first"	"No"	"No"	"Yes"	"No"	"Giving"	"Yes"	"Yes"	"Pragmatist"	"Yes"	"No"	"Cool headed"	"Odd hours"	"Yes"	"Happy"	"Yes"	"Yes"	"Yes"	"No"	"P.M."	"No"	"Start"	"Yes"	"Yes"	"Me"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Mysterious"	"Yes"	"Yes"	"Tunes"	"Technology"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Supportive"	"Yes"	"PC"	"No"	"Cautious"	"Yes"	"Yes!"	"No"	"Space"	"No"	"Online"	"Yes"	"Yes"	"Yes"	"Yes"	"Yay people!"	"Yes"	"No"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	"Rent"	"Optimist"	"Dad"	"Yes"	"Yes"	"Yes"	"Yes"	"Nope"	"No"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Yes"
19	1996	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"Republican"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"Public"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Science"	"Study first"	"Yes"	"Yes"	"No"	"No"	"Receiving"	"No"	"No"	"Idealist"	"Yes"	"No"	"Hot headed"	"Odd hours"	"No"	"Right"	"No"	"No"	"No"	"Yes"	"P.M."	"No"	"End"	"Yes"	"No"	"Circumstances"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Mysterious"	"No"	"No"	"Tunes"	"People"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Supportive"	"No"	"PC"	"Yes"	"Risk-friendly"	"No"	"Umm..."	"No"	"Socialize"	"No"	"In-person"	"Yes"	"No"	"Yes"	"No"	"Grrr people"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	"No"	"Yes"	"No"	"Own"	"Optimist"	"Dad"	"dnr"	"No"	"No"	"Yes"	"Nope"	"No"	"No"	"No"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"
20	1970	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Bachelor's Degree"	"Republican"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"Science"	"Study first"	"No"	"Yes"	"No"	"Yes"	"Giving"	"Yes"	"No"	"Idealist"	"Yes"	"Yes"	"Hot headed"	"Odd hours"	"No"	"Happy"	"Yes"	"Yes"	"No"	"No"	"A.M."	"Yes"	"Start"	"Yes"	"Yes"	"Me"	"Yes"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"No"	"No"	"Talk"	"Technology"	"No"	"Yes"	"Yes"	"No"	"No"	"Supportive"	"No"	"Mac"	"No"	"Cautious"	"No"	"Umm..."	"No"	"Space"	"No"	"Online"	"Yes"	"No"	"Yes"	"No"	"Grrr people"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"Own"	"Optimist"	"Dad"	"No"	"Yes"	"No"	"No"	"Nope"	"Yes"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"
21	1979	"Male"	"over $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"Republican"	"No"	"No"	"No"	"Yes"	"No"	"Yes"	"Private"	"Yes"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"Science"	"Try first"	"No"	"Yes"	"Yes"	"Yes"	"Receiving"	"No"	"No"	"Pragmatist"	"Yes"	"Yes"	"Cool headed"	"Odd hours"	"No"	"Happy"	"Yes"	"Yes"	"Yes"	"Yes"	"P.M."	"Yes"	"End"	"Yes"	"No"	"Me"	"No"	"Yes"	"No"	"Yes"	"No"	"Mysterious"	"Yes"	"No"	"Talk"	"Technology"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Supportive"	"No"	"PC"	"No"	"Risk-friendly"	"No"	"Yes!"	"No"	"Socialize"	"Yes"	"In-person"	"No"	"Yes"	"Yes"	"Yes"	"Yay people!"	"Yes"	"Yes"	"No"	"Yes"	"No"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Rent"	"Optimist"	"Dad"	"No"	"Yes"	"Yes"	"Yes"	"Check!"	"Yes"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Yes"
22	1997	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"Bachelor's Degree"	"Democrat"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Art"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"No"	"No"	"Mysterious"	"No"	"dnr"	"dnr"	"People"	"dnr"	"No"	"Yes"	"No"	"Yes"	"Supportive"	"No"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"In-person"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"Yes"	"Yes"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"Mom"	"dnr"	"No"	"Yes"	"Yes"	"Check!"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"No"	"Yes"	"dnr"	"No"	"Yes"
23	1976	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"Bachelor's Degree"	"Democrat"	"dnr"	"No"	"No"	"Yes"	"No"	"Yes"	"Public"	"Yes"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Science"	"Study first"	"No"	"Yes"	"No"	"Yes"	"Giving"	"No"	"No"	"Pragmatist"	"No"	"No"	"Cool headed"	"Odd hours"	"Yes"	"Right"	"No"	"Yes"	"No"	"No"	"P.M."	"Yes"	"Start"	"No"	"No"	"Circumstances"	"Yes"	"Yes"	"No"	"Yes"	"No"	"Mysterious"	"No"	"Yes"	"Talk"	"Technology"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Supportive"	"No"	"PC"	"No"	"Cautious"	"Yes"	"Yes!"	"No"	"Space"	"No"	"In-person"	"Yes"	"Yes"	"Yes"	"Yes"	"Grrr people"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Rent"	"Pessimist"	"Dad"	"No"	"Yes"	"Yes"	"Yes"	"Check!"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"
24	1982	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Master's Degree"	"Democrat"	"Yes"	"No"	"No"	"Yes"	"No"	"Yes"	"Public"	"No"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"Science"	"Study first"	"Yes"	"No"	"No"	"Yes"	"Giving"	"Yes"	"No"	"Pragmatist"	"No"	"Yes"	"Hot headed"	"Standard hours"	"No"	"Happy"	"Yes"	"dnr"	"No"	"Yes"	"P.M."	"Yes"	"Start"	"Yes"	"No"	"Me"	"Yes"	"Yes"	"No"	"Yes"	"No"	"TMI"	"No"	"Yes"	"Tunes"	"People"	"dnr"	"Yes"	"Yes"	"No"	"Yes"	"Demanding"	"No"	"PC"	"Yes"	"Cautious"	"Yes"	"Yes!"	"No"	"Space"	"Yes"	"In-person"	"Yes"	"No"	"Yes"	"Yes"	"Yay people!"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"No"	"No"	"Rent"	"Pessimist"	"Dad"	"No"	"Yes"	"Yes"	"Yes"	"Nope"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Yes"
25	1973	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Associate's Degree"	"Democrat"	"No"	"Yes"	"No"	"Yes"	"dnr"	"No"	"Public"	"No"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"Science"	"Study first"	"No"	"dnr"	"No"	"No"	"Giving"	"No"	"No"	"Pragmatist"	"No"	"No"	"Cool headed"	"Standard hours"	"Yes"	"Happy"	"Yes"	"Yes"	"No"	"No"	"P.M."	"Yes"	"dnr"	"Yes"	"No"	"dnr"	"dnr"	"Yes"	"Yes"	"Yes"	"No"	"Mysterious"	"Yes"	"No"	"Talk"	"Technology"	"No"	"Yes"	"Yes"	"dnr"	"No"	"Supportive"	"No"	"PC"	"No"	"Cautious"	"No"	"dnr"	"No"	"dnr"	"Yes"	"In-person"	"No"	"Yes"	"Yes"	"Yes"	"Grrr people"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	"Yes"	"No"	"Own"	"Pessimist"	"Mom"	"Yes"	"No"	"Yes"	"Yes"	"Check!"	"Yes"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	"No"	"No"	"No"
