"USER_ID"	"Party"	"Age_group"	"NumSurveyAnsInterest"	"IsLiberal"	"Gender"	"Income"	"HouseholdStatus"	"EducationLevel"	"Q109244"	"Q115611"	"Q98197"	"Q113181"	"Q98869"	"Q101163"	"Q99480"	"Q105840"	"Q116881"	"Q120379"	"Q120472"	"Q106272"	"Q115899"	"Q121699"	"Q119851"	"Q110740"	"Q102089"	"Q106042"
16	"Republican"	"(44,64]"	5	"unknown"	"Male"	"over $150,000"	"Married (no kids)"	"Bachelor's Degree"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"Dad"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Mac"	"dnr"	"dnr"
17	"Republican"	"(18,44]"	18	"No"	"Female"	"$100,001 - $150,000"	"Domestic Partners (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Right"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"Rent"	"No"
18	"Democrat"	"(44,64]"	18	"unknown"	"Male"	"$50,000 - $74,999"	"Married (w/kids)"	"High School Diploma"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Rent"	"No"
19	"Republican"	"(18,44]"	18	"No"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Right"	"No"	"Science"	"Yes"	"Circumstances"	"No"	"No"	"PC"	"Own"	"No"
20	"Republican"	"(44,64]"	17	"No"	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"dnr"	"Yes"	"Mac"	"Own"	"No"
21	"Republican"	"(18,44]"	18	"No"	"Male"	"over $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Rent"	"Yes"
22	"Democrat"	"(18,44]"	4	"Yes"	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"dnr"	"Yes"	"dnr"	"No"	"dnr"	"dnr"	"Mom"	"dnr"	"dnr"	"dnr"	"dnr"	"Art"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
23	"Democrat"	"(18,44]"	18	"No"	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"Bachelor's Degree"	"Yes"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Right"	"Yes"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"	"Rent"	"No"
24	"Democrat"	"(18,44]"	17	"Yes"	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"dnr"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Rent"	"Yes"
25	"Democrat"	"(18,44]"	17	"Yes"	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Associate's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"dnr"	"Yes"	"No"	"PC"	"Own"	"No"
26	"Republican"	"(18,44]"	18	"Yes"	"Female"	"$50,000 - $74,999"	"Domestic Partners (no kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"No"	"No"	"Happy"	"No"	"Science"	"No"	"Me"	"Yes"	"Yes"	"PC"	"Own"	"Yes"
27	"Democrat"	"(44,64]"	18	"Yes"	"Male"	"over $150,000"	"Domestic Partners (w/kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Mom"	"No"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Own"	"Yes"
30	"Democrat"	"(18,44]"	15	"Yes"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current K-12"	"No"	"No"	"dnr"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"dnr"	"Yes"	"Science"	"No"	"dnr"	"No"	"No"	"PC"	"Own"	"No"
31	"Democrat"	"(18,44]"	0	"unknown"	"Male"	"dnr"	"dnr"	"Current K-12"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
32	"Republican"	"(18,44]"	18	"No"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Art"	"No"	"Circumstances"	"Yes"	"No"	"PC"	"Own"	"Yes"
33	"Democrat"	"(64,90]"	17	"Yes"	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"Master's Degree"	"Yes"	"No"	"No"	"No"	"No"	"dnr"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Me"	"Yes"	"Yes"	"Mac"	"Own"	"Yes"
34	"Democrat"	"(64,90]"	18	"Yes"	"Female"	"dnr"	"Married (no kids)"	"Associate's Degree"	"Yes"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Circumstances"	"Yes"	"Yes"	"PC"	"Own"	"Yes"
35	"Democrat"	"(18,44]"	18	"No"	"Male"	"over $150,000"	"Single (no kids)"	"Current K-12"	"Yes"	"No"	"No"	"No"	"No"	"Dad"	"No"	"No"	"Right"	"No"	"Art"	"No"	"Circumstances"	"Yes"	"No"	"PC"	"Own"	"No"
36	"Democrat"	"(18,44]"	14	"unknown"	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Bachelor's Degree"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Dad"	"No"	"Yes"	"Happy"	"No"	"dnr"	"Yes"	"Me"	"No"	"No"	"PC"	"Own"	"No"
38	"Democrat"	"(18,44]"	18	"No"	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Me"	"Yes"	"No"	"PC"	"Rent"	"Yes"
39	"Democrat"	"(64,90]"	17	"Yes"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Master's Degree"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Me"	"dnr"	"Yes"	"Mac"	"Own"	"Yes"
40	"Democrat"	"(18,44]"	18	"No"	"Female"	"$25,001 - $50,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"No"	"Circumstances"	"Yes"	"No"	"Mac"	"Rent"	"Yes"
41	"Republican"	"(44,64]"	6	"unknown"	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"dnr"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Mac"	"dnr"	"Yes"
42	"Democrat"	"(64,90]"	18	"No"	"Male"	"$25,001 - $50,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Rent"	"No"
43	"Democrat"	"(18,44]"	18	"Yes"	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current Undergraduate"	"Yes"	"No"	"No"	"No"	"No"	"Mom"	"Yes"	"No"	"Right"	"Yes"	"Art"	"No"	"Circumstances"	"Yes"	"No"	"Mac"	"Own"	"No"
45	"Democrat"	"(44,64]"	16	"No"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"High School Diploma"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"Yes"	"dnr"	"No"	"Art"	"dnr"	"Circumstances"	"Yes"	"No"	"Mac"	"Own"	"Yes"
46	"Democrat"	"(44,64]"	18	"Yes"	"Female"	"$100,001 - $150,000"	"Married (w/kids)"	"Master's Degree"	"Yes"	"Yes"	"No"	"No"	"No"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"Yes"
47	"Republican"	"(18,44]"	8	"unknown"	"Male"	"over $150,000"	"Married (w/kids)"	"Current K-12"	"dnr"	"Yes"	"Yes"	"Yes"	"dnr"	"Mom"	"dnr"	"dnr"	"Happy"	"dnr"	"Science"	"dnr"	"dnr"	"dnr"	"No"	"Mac"	"dnr"	"dnr"
48	"Democrat"	"(18,44]"	18	"No"	"Male"	"dnr"	"Married (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"	"Own"	"No"
49	"Republican"	"(18,44]"	2	"unknown"	"Female"	"$25,001 - $50,000"	"Single (w/kids)"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"PC"	"dnr"	"dnr"
50	"Republican"	"(44,64]"	3	"unknown"	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"High School Diploma"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"Mac"	"Own"	"dnr"
51	"Democrat"	"(18,44]"	18	"Yes"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Doctoral Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"Own"	"Yes"
52	"Republican"	"(18,44]"	4	"unknown"	"Female"	"dnr"	"Single (no kids)"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Happy"	"dnr"	"dnr"	"dnr"	"Me"	"dnr"	"dnr"	"Mac"	"dnr"	"dnr"
53	"Republican"	"(18,44]"	15	"Yes"	"Male"	"$25,001 - $50,000"	"Single (w/kids)"	"dnr"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"dnr"	"Happy"	"No"	"Science"	"No"	"dnr"	"Yes"	"No"	"PC"	"Rent"	"dnr"
54	"Democrat"	"(44,64]"	18	"No"	"Female"	"$100,001 - $150,000"	"Married (w/kids)"	"dnr"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"Own"	"Yes"
55	"Democrat"	"(18,44]"	18	"No"	"Male"	"over $150,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"Mac"	"Own"	"Yes"
57	"Republican"	"(18,44]"	10	"unknown"	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current K-12"	"No"	"Yes"	"Yes"	"Yes"	"dnr"	"dnr"	"Yes"	"dnr"	"Happy"	"Yes"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"dnr"	"Own"	"dnr"
58	"Democrat"	"(18,44]"	16	"Yes"	"Male"	"$50,000 - $74,999"	"Single (no kids)"	"dnr"	"Yes"	"No"	"No"	"dnr"	"dnr"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"Yes"	"Me"	"No"	"No"	"Mac"	"Rent"	"No"
59	"Republican"	"(44,64]"	18	"No"	"Male"	"$50,000 - $74,999"	"Single (no kids)"	"High School Diploma"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Rent"	"No"
60	"Republican"	"(18,44]"	18	"No"	"Male"	"under $25,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"No"	"No"	"Right"	"No"	"Art"	"Yes"	"Circumstances"	"Yes"	"No"	"Mac"	"Own"	"No"
61	"Democrat"	"(18,44]"	18	"No"	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"No"	"Me"	"Yes"	"Yes"	"Mac"	"Own"	"Yes"
63	"Republican"	"(18,44]"	14	"unknown"	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Bachelor's Degree"	"dnr"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"dnr"	"No"	"Me"	"Yes"	"No"	"dnr"	"dnr"	"Yes"
64	"Democrat"	"(18,44]"	18	"unknown"	"Male"	"under $25,000"	"Single (no kids)"	"dnr"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"No"	"Me"	"No"	"No"	"PC"	"Own"	"No"
65	"Democrat"	"(44,64]"	18	"Yes"	"Male"	"$100,001 - $150,000"	"Married (no kids)"	"Associate's Degree"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Own"	"Yes"
66	"Democrat"	"(44,64]"	18	"No"	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"Own"	"Yes"
67	"Republican"	"(44,64]"	17	"No"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"High School Diploma"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"No"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"No"	"dnr"	"Mac"	"Own"	"No"
69	"Republican"	"(64,90]"	17	"No"	"Male"	"over $150,000"	"Married (w/kids)"	"Doctoral Degree"	"dnr"	"Yes"	"No"	"Yes"	"No"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"Yes"	"No"	"PC"	"Own"	"Yes"
70	"Republican"	"(44,64]"	18	"No"	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Current K-12"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"Yes"	"Right"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"No"
71	"Republican"	"(18,44]"	9	"unknown"	"Male"	"$75,000 - $100,000"	"Domestic Partners (w/kids)"	"Bachelor's Degree"	"No"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"No"	"No"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"PC"	"dnr"	"Yes"
73	"Democrat"	"(18,44]"	7	"unknown"	"Female"	"dnr"	"Single (no kids)"	"Bachelor's Degree"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Dad"	"No"	"dnr"	"dnr"	"Yes"	"Art"	"dnr"	"dnr"	"Yes"	"No"	"Mac"	"dnr"	"dnr"
75	"Democrat"	"(18,44]"	17	"No"	"Female"	"$75,000 - $100,000"	"Single (no kids)"	"Master's Degree"	"No"	"No"	"No"	"dnr"	"No"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"	"Own"	"No"
76	"Republican"	"(44,64]"	18	"No"	"Male"	"$100,001 - $150,000"	"Married (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Art"	"Yes"	"Circumstances"	"Yes"	"Yes"	"Mac"	"Own"	"Yes"
77	"Democrat"	"(18,44]"	18	"No"	"Male"	"$75,000 - $100,000"	"Domestic Partners (no kids)"	"High School Diploma"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"No"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Circumstances"	"Yes"	"No"	"Mac"	"Own"	"No"
78	"Democrat"	"(44,64]"	17	"No"	"Male"	"over $150,000"	"Married (w/kids)"	"Master's Degree"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"No"	"Yes"	"Right"	"Yes"	"Science"	"Yes"	"dnr"	"No"	"Yes"	"PC"	"Own"	"Yes"
79	"Republican"	"(18,44]"	18	"Yes"	"Male"	"$75,000 - $100,000"	"dnr"	"High School Diploma"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"No"	"Me"	"No"	"No"	"PC"	"Rent"	"No"
82	"Democrat"	"(44,64]"	18	"No"	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"Associate's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"No"	"Yes"	"Happy"	"No"	"Art"	"Yes"	"Circumstances"	"Yes"	"No"	"Mac"	"Own"	"Yes"
83	"Democrat"	"(18,44]"	3	"unknown"	"Male"	"dnr"	"Single (no kids)"	"Current Undergraduate"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"Science"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"
84	"Republican"	"(44,64]"	18	"No"	"Male"	"$50,000 - $74,999"	"Married (w/kids)"	"dnr"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"Yes"	"No"	"PC"	"Own"	"No"
85	"Democrat"	"(18,44]"	6	"Yes"	"Female"	"under $25,000"	"Single (w/kids)"	"Master's Degree"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"Yes"	"No"	"dnr"	"dnr"	"dnr"
86	"Republican"	"(18,44]"	17	"No"	"Male"	"$75,000 - $100,000"	"Married (w/kids)"	"High School Diploma"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"dnr"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"No"
88	"Democrat"	"(44,64]"	18	"No"	"Male"	"$75,000 - $100,000"	"Married (no kids)"	"Associate's Degree"	"No"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"Own"	"Yes"
89	"Democrat"	"(18,44]"	10	"Yes"	"Male"	"under $25,000"	"Single (no kids)"	"Current Undergraduate"	"Yes"	"No"	"Yes"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"Happy"	"dnr"	"Art"	"No"	"Me"	"Yes"	"dnr"	"Mac"	"dnr"	"dnr"
90	"Republican"	"(18,44]"	18	"No"	"Male"	"over $150,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"Yes"	"No"	"PC"	"Own"	"Yes"
91	"Republican"	"(18,44]"	18	"No"	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"High School Diploma"	"No"	"Yes"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"No"
93	"Democrat"	"(18,44]"	3	"Yes"	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current K-12"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"
94	"Republican"	"(0,18]"	7	"Yes"	"Female"	"dnr"	"Single (no kids)"	"Current K-12"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Happy"	"dnr"	"dnr"	"No"	"Circumstances"	"dnr"	"dnr"	"Mac"	"dnr"	"No"
95	"Republican"	"(18,44]"	18	"No"	"Male"	"over $150,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"No"	"Me"	"Yes"	"Yes"	"Mac"	"Rent"	"No"
97	"Democrat"	"(44,64]"	11	"No"	"Male"	"$50,000 - $74,999"	"Single (w/kids)"	"dnr"	"No"	"dnr"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"PC"	"Own"	"Yes"
98	"Democrat"	"(18,44]"	13	"No"	"Female"	"$75,000 - $100,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"dnr"	"No"	"dnr"	"dnr"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"No"	"dnr"	"No"	"No"	"PC"	"Rent"	"dnr"
99	"Republican"	"(18,44]"	12	"No"	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"dnr"	"dnr"	"dnr"	"Science"	"dnr"	"Me"	"Yes"	"No"	"Mac"	"dnr"	"dnr"
101	"Republican"	"(44,64]"	18	"unknown"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"Yes"
102	"Republican"	"(64,90]"	17	"No"	"Female"	"over $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"dnr"	"No"	"Art"	"Yes"	"Me"	"Yes"	"Yes"	"Mac"	"Own"	"Yes"
103	"Democrat"	"(18,44]"	0	"unknown"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Current K-12"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"
106	"Democrat"	"(18,44]"	6	"Yes"	"Male"	"$75,000 - $100,000"	"Single (no kids)"	"Current Undergraduate"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Mom"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Mac"	"dnr"	"dnr"
107	"Republican"	"(18,44]"	2	"Yes"	"Male"	"$50,000 - $74,999"	"Single (no kids)"	"Bachelor's Degree"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"
109	"Republican"	"(18,44]"	18	"Yes"	"Male"	"dnr"	"Single (no kids)"	"Doctoral Degree"	"No"	"No"	"No"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"Yes"	"Art"	"No"	"Me"	"No"	"Yes"	"PC"	"Rent"	"No"
